id_mun,cobertura_prog_hambre,cobertura_programas,cobertura_prog_hambre_y_leche
16082,0.2975952,0.3945033,0.30546808
16083,0.43852168,0.50675195,0.45984364
16084,0.93175673,0.97128379,0.94155407
16085,0.54328561,0.64587593,0.57055217
16086,0.77087379,0.78932041,0.77184469
16087,0.61929595,0.74837029,0.64537156
16088,0.67408127,0.86049324,0.69197291
16089,1.0401084,1.0834688,1.0536585
16090,0.68137574,0.72744972,0.68786502
16091,1.0338784,1.0747664,1.0420561
16092,0.55183214,0.75133103,0.59254622
16093,0.33484963,0.47763458,0.36846095
16094,0.36235294,0.5482353,0.39764705
16095,0.44618833,0.48206279,0.4473094
16096,0.44674185,0.53947371,0.44862154
16097,0.25458032,0.29314017,0.25969324
16098,0.22628951,0.23508438,0.2279534
16099,0.90167302,1.2506604,0.96712649
16100,0.27947095,0.48706153,0.28234619
16101,0.16650486,0.25436893,0.19223301
16102,0.53901744,0.62095088,0.56541997
16103,0.58959538,0.65722543,0.59306359
16104,0.43059701,0.44776121,0.43059701
16105,0.644822,0.71197408,0.65210354
16106,0.86363637,0.93073595,0.87283552
16107,0.48669279,0.52547967,0.49061275
16108,0.54111844,0.58702803,0.5541333
16109,0.44715446,0.50406504,0.46341464
16110,0.36405429,0.4014886,0.37127846
16111,0.41913152,0.56261802,0.44052863
16112,0.46709186,0.50744987,0.4708972
16113,0.36584133,0.44567963,0.37038907
17001,0.52346277,0.74676377,0.60032362
17002,0.11788618,0.17750677,0.14701897
17003,0.1509434,0.20357497,0.15888779
17004,0.32802075,0.92364717,0.51371384
17005,0.23999999,0.382,0.31
17006,0.58167118,0.80741239,0.67938006
17007,1.1592799,1.6172564,1.3130975
17008,0.82623267,1.0043082,0.89612257
17009,0.58543688,0.72524273,0.62233007
17010,0.17575084,0.33147943,0.27474973
17011,0.46807235,0.71091408,0.58332336
17012,0.48012978,0.75709653,0.65166259
17013,0.38709676,0.55865103,0.41788855
17014,0.25999999,0.38,0.308
17015,0.13266487,0.18665639,0.1573467
17016,0.33386582,0.38924387,0.35037273
17017,0.37166479,0.6307779,0.44306651
17018,0.78414863,1.0609667,0.88575989
17019,0.3218599,0.4468599,0.33756039
17020,0.12451245,0.17851785,0.14011401
17021,0.12394958,0.21638656,0.16386555
17022,0.23123957,0.32184547,0.26570317
17023,0.43344709,0.66040957,0.45904437
17024,0.41023767,0.54332721,0.44936013
17025,0.48617816,0.6831944,0.50636244
17026,0.19193548,0.2483871,0.20725806
17027,0.086730272,0.13703382,0.11014744
17028,0.41220239,0.59851193,0.48750001
17029,0.52489096,0.87118459,0.67278343
17030,0.32961047,0.40152547,0.35113049
17031,0.49662784,0.69221336,0.60269773
17032,0.51138353,0.73730296,0.67425567
